city_name,w,lambda,mean_total_time,std_total_time,mean_similarity_time,std_similarity_time
Brunswick_GA,25,32.0,0.0611,0.001,0.0002,0.0
Brunswick_GA,25,64.0,0.0627,0.0002,0.0004,0.0
Brunswick_GA,25,inf,0.0381,0.0001,0.0381,0.0001
Brunswick_GA,50,8.0,0.0621,0.0001,0.0001,0.0
Brunswick_GA,50,16.0,0.0587,0.0003,0.0001,0.0
Brunswick_GA,50,32.0,0.0622,0.0001,0.0002,0.0
Brunswick_GA,50,64.0,0.0606,0.0002,0.0004,0.0
Brunswick_GA,50,inf,0.0379,0.0,0.0379,0.0
Hoboken_NJ,25,8.0,0.0832,0.0001,0.0001,0.0
Hoboken_NJ,25,16.0,0.0841,0.0001,0.0001,0.0
Hoboken_NJ,25,32.0,0.0848,0.0001,0.0002,0.0
Hoboken_NJ,25,64.0,0.0848,0.0,0.0003,0.0
Hoboken_NJ,25,inf,0.0416,0.0002,0.0415,0.0002
Hoboken_NJ,50,8.0,0.0826,0.0,0.0001,0.0
Hoboken_NJ,50,16.0,0.0813,0.0001,0.0001,0.0
Hoboken_NJ,50,32.0,0.0816,0.0,0.0002,0.0
Hoboken_NJ,50,64.0,0.0826,0.0005,0.0003,0.0
Hoboken_NJ,50,inf,0.0388,0.0003,0.0387,0.0003
Cumming_GA,25,8.0,0.0125,0.0,0.0001,0.0
Cumming_GA,25,16.0,0.0116,0.0,0.0001,0.0
Cumming_GA,25,32.0,0.0116,0.0,0.0002,0.0
Cumming_GA,25,64.0,0.0121,0.0,0.0003,0.0
Cumming_GA,25,inf,0.0081,0.0,0.0081,0.0
Cumming_GA,50,8.0,0.0122,0.0,0.0001,0.0
Cumming_GA,50,16.0,0.0117,0.0,0.0001,0.0
Cumming_GA,50,32.0,0.012,0.0,0.0002,0.0
Cumming_GA,50,64.0,0.0125,0.0,0.0003,0.0
Cumming_GA,50,inf,0.0079,0.0,0.0079,0.0
Columbus_OH,25,8.0,0.1119,0.0003,0.0001,0.0
Columbus_OH,25,16.0,0.1092,0.0004,0.0001,0.0
Columbus_OH,25,32.0,0.1088,0.0018,0.0002,0.0
Columbus_OH,25,64.0,0.1125,0.0005,0.0004,0.0
Columbus_OH,25,inf,0.0584,0.0003,0.0584,0.0003
Columbus_OH,50,8.0,0.1109,0.0001,0.0001,0.0
Columbus_OH,50,16.0,0.1038,0.0013,0.0001,0.0
Columbus_OH,50,32.0,0.1065,0.0003,0.0002,0.0
Columbus_OH,50,64.0,0.1064,0.0004,0.0003,0.0
Columbus_OH,50,inf,0.0544,0.0004,0.0543,0.0004
Duluth_GA,25,8.0,0.0164,0.0001,0.0001,0.0
Duluth_GA,25,16.0,0.0155,0.0002,0.0001,0.0
Duluth_GA,25,32.0,0.016,0.0001,0.0002,0.0
Duluth_GA,25,64.0,0.016,0.0,0.0003,0.0
Duluth_GA,25,inf,0.0108,0.0,0.0107,0.0
Duluth_GA,50,8.0,0.0151,0.0,0.0001,0.0
Duluth_GA,50,16.0,0.0154,0.0,0.0001,0.0
Duluth_GA,50,32.0,0.0162,0.0,0.0002,0.0
Duluth_GA,50,64.0,0.0166,0.0,0.0003,0.0
Duluth_GA,50,inf,0.0103,0.0,0.0102,0.0
Indianapolis_IN,25,8.0,0.1133,0.0004,0.0001,0.0
Indianapolis_IN,25,16.0,0.1111,0.0003,0.0001,0.0
Indianapolis_IN,25,32.0,0.1115,0.0001,0.0002,0.0
Indianapolis_IN,25,64.0,0.1116,0.0004,0.0003,0.0
Indianapolis_IN,25,inf,0.0584,0.0001,0.0584,0.0001
Indianapolis_IN,50,8.0,0.1129,0.0006,0.0001,0.0
Indianapolis_IN,50,16.0,0.1118,0.0004,0.0001,0.0
Indianapolis_IN,50,32.0,0.1163,0.0004,0.0002,0.0
Indianapolis_IN,50,64.0,0.1122,0.0002,0.0003,0.0
Indianapolis_IN,50,inf,0.0565,0.0,0.0564,0.0
Suwanee_GA,25,8.0,0.0191,0.0002,0.0001,0.0
Suwanee_GA,25,16.0,0.0188,0.0001,0.0001,0.0
Suwanee_GA,25,32.0,0.0194,0.0002,0.0002,0.0
Suwanee_GA,25,64.0,0.02,0.0001,0.0003,0.0
Suwanee_GA,25,inf,0.0109,0.0001,0.0109,0.0001
Suwanee_GA,50,8.0,0.019,0.0002,0.0001,0.0
Suwanee_GA,50,16.0,0.0192,0.0002,0.0001,0.0
Suwanee_GA,50,32.0,0.0193,0.0001,0.0002,0.0
Suwanee_GA,50,64.0,0.019,0.0002,0.0003,0.0
Suwanee_GA,50,inf,0.0102,0.0,0.0102,0.0
Fairfax_VA,25,8.0,0.0689,0.0001,0.0001,0.0
Fairfax_VA,25,16.0,0.069,0.0001,0.0001,0.0
Fairfax_VA,25,32.0,0.0691,0.0,0.0002,0.0
Fairfax_VA,25,64.0,0.0684,0.0002,0.0004,0.0
Fairfax_VA,25,inf,0.0439,0.0002,0.0438,0.0002
Fairfax_VA,50,8.0,0.0681,0.0,0.0001,0.0
Fairfax_VA,50,16.0,0.0674,0.0001,0.0001,0.0
Fairfax_VA,50,32.0,0.0677,0.0002,0.0002,0.0
Fairfax_VA,50,64.0,0.0714,0.0003,0.0004,0.0
Fairfax_VA,50,inf,0.0427,0.0001,0.0427,0.0001
Las-Vegas_NV,25,8.0,0.0589,0.0002,0.0001,0.0
Las-Vegas_NV,25,16.0,0.0587,0.0001,0.0001,0.0
Las-Vegas_NV,25,32.0,0.058,0.0003,0.0002,0.0
Las-Vegas_NV,25,64.0,0.0611,0.0003,0.0004,0.0
Las-Vegas_NV,25,inf,0.0372,0.0001,0.0372,0.0001
Las-Vegas_NV,50,8.0,0.061,0.0001,0.0001,0.0
Las-Vegas_NV,50,16.0,0.0585,0.0002,0.0001,0.0
Las-Vegas_NV,50,32.0,0.0599,0.0001,0.0002,0.0
Las-Vegas_NV,50,64.0,0.0596,0.0001,0.0004,0.0
Las-Vegas_NV,50,inf,0.0356,0.0001,0.0356,0.0001
San-Francisco_CA,25,8.0,0.1602,0.0011,0.0001,0.0
San-Francisco_CA,25,16.0,0.1598,0.0002,0.0001,0.0
San-Francisco_CA,25,32.0,0.1624,0.0025,0.0002,0.0
San-Francisco_CA,25,64.0,0.1614,0.0034,0.0004,0.0
San-Francisco_CA,25,inf,0.0815,0.0006,0.0815,0.0006
